//Date Created 2022-12-09 13:15:58.932146
"//Units: sec, m/s/s"
Action,walking
SampleRate,100.0
Frames#,Time,AccX,AccY,AccZ
142,1.40570068359375,-2.040376,9.996168,-0.220064
143,1.41569185256958,-1.712672,11.055824,-1.164904
144,1.4255187511444092,-3.202888,13.794664,1.2558
145,1.4356749057769775,-1.741376,13.034008,0.90896
146,1.4450974464416504,-2.9302,11.737544,1.8538
147,1.455482006072998,-3.681288,11.306984,1.380184
148,1.4656615257263184,-3.602352,11.943256,1.236664
149,1.4754574298858643,-2.351336,11.952824,1.093144
150,1.4855022430419922,-1.547624,12.409696,1.241448
151,1.495713710784912,-1.241448,13.481312,1.59068
152,1.505450963973999,-1.777256,13.83772,1.999712
153,1.5154352188110352,-2.5714,12.921584,2.693392
154,1.5260188579559326,-3.119168,11.161072,3.39664
155,1.5354580879211426,-3.078504,9.297704,3.640624
156,1.5454626083374023,-2.36808,7.826624,3.578432
157,1.5557048320770264,-1.198392,6.587568,3.4684
158,1.5654628276824951,-0.186576,5.690568,3.32488
159,1.5754642486572266,0.363584,5.602064,2.992392
160,1.585669994354248,0.10764,6.8172,2.430272
161,1.59539794921875,-0.664976,9.515376,1.66244
162,1.6054294109344482,-1.624168,12.321192,1.538056
163,1.6157243251800537,-2.066688,12.792416,1.846624
164,1.6255381107330322,-1.676792,12.058072,1.99732
165,1.6355221271514893,-1.047696,12.770888,2.502032
166,1.645749568939209,-0.279864,13.258856,2.53552
167,1.6555137634277344,0.511888,12.68956,2.325024
168,1.6655101776123047,1.468688,11.23044,2.023632
169,1.6757752895355225,2.485288,9.644544,2.028416
170,1.685542345046997,3.222024,8.809736,2.903888
171,1.6955175399780273,3.131128,8.47964,3.784144
172,1.7057561874389648,2.325024,7.864896,4.360616
173,1.7150139808654785,1.0764,7.025304,4.465864
174,1.72529935836792,0.038272,6.269432,4.626128
175,1.73579740524292,-0.700856,5.81256,4.611776
176,1.74509596824646,-1.10032,5.60924,4.523272
177,1.7551443576812744,-1.308424,5.798208,4.071184
178,1.765836238861084,-1.198392,6.056544,3.858296
179,1.7751376628875732,-1.179256,6.451224,3.578432
180,1.785480260848999,-1.38736,6.676072,2.820168
181,1.7955236434936523,-1.018992,7.544368,3.63584
182,1.805548906326294,-1.63852,7.39128,2.923024
183,1.815521240234375,-1.863368,8.30024,3.389464
184,1.8255114555358887,-2.691,8.608808,2.83452
185,1.8350279331207275,-3.023488,8.199776,1.927952
186,1.8452162742614746,-2.765152,7.860112,1.633736
187,1.8556797504425049,-2.5116,8.163896,2.413528
188,1.865485668182373,-2.46376,8.505952,3.056976
189,1.8750801086425781,-2.5714,8.345688,2.779504
190,1.885674238204956,-2.8704,8.34808,2.525952
191,1.8957977294921875,-3.023488,8.446152,2.262832
192,1.9054722785949707,-3.442088,8.529872,2.2126
193,1.9160499572753906,-3.717168,8.704488,2.083432
194,1.9254581928253174,-3.903744,8.82648,1.982968
195,1.9354863166809082,-4.071184,9.273784,2.00928
196,1.945866346359253,-4.241016,9.745008,2.004496
197,1.9554708003997803,-4.300816,10.197096,1.98536
198,1.965470552444458,-4.1262,10.419552,2.016456
199,1.975696086883545,-3.537768,10.558288,2.097784
200,1.9854540824890137,-2.77472,10.830976,2.150408
201,1.9954872131347656,-2.234128,11.57728,1.96144
202,2.0056655406951904,-1.963832,12.24704,1.887288
203,2.0151922702789307,-1.667224,12.586704,1.846624
204,2.02553129196167,-1.361048,12.369032,1.74616
205,2.035860300064087,-1.157728,12.058072,1.832272
206,2.045511484146118,-1.014208,11.641864,1.88968
207,2.0554962158203125,-1.081184,11.106056,1.688752
208,2.0657150745391846,-1.32756,10.929048,1.645696
209,2.0754995346069336,-1.416064,11.23044,1.251016
210,2.0855014324188232,-1.672008,11.866712,0.997464
211,2.0956854820251465,-2.102568,12.622584,1.023776
212,2.1055078506469727,-2.537912,13.100984,1.119456
213,2.115501642227173,-2.824952,13.364104,1.284504
214,2.125737190246582,-2.78668,13.38324,1.298856
215,2.1355338096618652,-2.399176,13.309088,1.29168
216,2.1451475620269775,-1.645696,13.306696,1.196
217,2.1557178497314453,-0.901784,13.105768,1.262976
218,2.1654956340789795,-0.117208,12.9168,1.361048
219,2.1751105785369873,0.588432,12.395344,1.700712
220,2.185856819152832,1.0166,11.806912,2.20064
221,2.1950347423553467,1.51892,10.840544,2.530736
222,2.2055110931396484,1.832272,10.029656,2.54748
223,2.2157135009765625,1.908816,9.111128,2.604888
224,2.225440263748169,1.736592,8.314592,2.693392
225,2.235053062438965,1.478256,7.63048,2.731664
226,2.2456676959991455,0.985504,7.137728,2.841696
227,2.255467414855957,0.387504,6.62584,2.734056
228,2.265455484390259,-0.169832,6.353152,2.624024
229,2.2757012844085693,-0.794144,6.106776,2.59532
230,2.2854459285736084,-1.253408,5.960864,2.291536
231,2.295516014099121,-1.581112,5.99196,1.968616
232,2.30548095703125,-1.748552,6.101992,1.516528
233,2.3155195713043213,-1.942304,6.439264,1.284504
234,2.325444459915161,-1.98536,6.819592,1.203176
235,2.3356754779815674,-2.336984,7.48696,1.217528
236,2.3457837104797363,-1.559584,5.362864,-1.791608
237,2.355078935623169,-2.088216,8.728408,3.119168
238,2.3658225536346436,-2.289144,9.142224,1.301248
239,2.375016450881958,-1.42324,7.695064,-1.420848
240,2.3854708671569824,-1.884896,6.855472,-0.351624
241,2.3957066535949707,-1.822704,7.28364,1.157728
242,2.405461072921753,-1.56676,8.21652,1.191216
243,2.415461301803589,-1.109888,8.716448,-0.102856
244,2.4255831241607666,-1.215136,9.443616,-0.60996
245,2.435089588165283,-1.968616,10.515232,0.007176
246,2.44547176361084,-2.789072,11.2424,0.521456
247,2.455772638320923,-3.439696,11.15868,0.794144
248,2.4654810428619385,-3.705208,11.306984,0.901784
249,2.475471019744873,-3.437304,10.642008,0.679328
250,2.485706090927124,-3.425344,10.555896,1.035736
251,2.495452642440796,-3.147872,10.840544,1.392144
252,2.5054619312286377,-2.841696,11.512696,1.84184
253,2.515712022781372,-2.47572,12.268568,1.719848
254,2.5249834060668945,-2.210208,12.610624,1.731808
255,2.535050630569458,-1.8538,11.699272,2.100176
256,2.5456888675689697,-1.468688,10.484136,2.46376
257,2.5554511547088623,-0.904176,9.498632,3.0498
258,2.5654218196868896,-0.22724,8.367216,3.111992
259,2.5758607387542725,0.368368,7.278856,3.176576
260,2.5854482650756836,0.880256,6.73348,3.458832
261,2.595456838607788,1.062048,6.728696,3.178968
262,2.6054534912109375,0.66976,7.788352,2.827344
263,2.6154215335845947,-0.01196,9.893312,2.169544
264,2.62548565864563,-0.664976,11.904984,1.844232
265,2.635967969894409,-0.975936,12.524512,1.849016
266,2.6455280780792236,-0.93288,12.995736,2.279576
267,2.6554927825927734,-0.380328,13.696592,2.695784
268,2.6656978130340576,0.253552,13.34736,2.635984
269,2.6750195026397705,-0.055016,13.201448,3.793712
270,2.6854708194732666,-0.33488,12.053288,4.083144
271,2.6957597732543945,0.050232,10.027264,3.410992
272,2.705716609954834,0.76544,8.517912,3.760224
273,2.7154641151428223,1.260584,7.934264,4.77204
274,2.725458860397339,1.547624,7.448688,5.25044
275,2.7350313663482666,1.310816,6.70956,4.850976
276,2.7454535961151123,0.949624,5.614024,3.992248
277,2.7556989192962646,0.186576,5.475288,4.22188
278,2.7654383182525635,-0.46644,5.889104,4.46108
279,2.7754197120666504,-1.607424,4.953832,3.31292
280,2.786273956298828,-1.365832,5.771896,3.927664
281,2.7954204082489014,-1.4352,7.40324,4.599816
282,2.8054726123809814,-1.899248,6.92484,3.49232
283,2.815687417984009,-2.262832,6.738264,2.4518
284,2.8257434368133545,-2.652728,7.501312,2.640768
285,2.8350276947021484,-2.982824,7.790744,2.375256
286,2.845817804336548,-3.382288,7.754864,2.037984
287,2.8551385402679443,-3.391856,8.080176,2.420704
288,2.865138053894043,-2.997176,8.326552,2.585752
289,2.875744342803955,-2.66708,8.259576,2.748408
290,2.8852767944335938,-2.700568,7.939048,2.717312
291,2.895294189453125,-2.875184,7.673536,2.628808
292,2.9058730602264404,-3.188536,7.671144,2.67904
293,2.9151997566223145,-3.724344,7.972536,2.734056
294,2.9252686500549316,-4.324736,8.51552,2.509208
295,2.935770273208618,-4.87968,8.907808,2.121704
296,2.945218086242676,-5.138016,9.168536,2.011672
297,2.9551565647125244,-5.23848,9.441224,1.942304
298,2.9658851623535156,-5.092568,9.701952,1.856192
299,2.9749834537506104,-4.717024,10.060752,1.846624
300,2.9851768016815186,-4.207528,10.278424,1.899248
301,2.995948314666748,-3.62388,10.589384,2.059512
302,3.0055739879608154,-3.100032,11.383528,2.004496
303,3.0155723094940186,-2.848872,12.349896,1.884896
304,3.0257630348205566,-2.478112,13.089024,1.789216
305,3.0355663299560547,-2.064296,13.376064,1.827488
306,3.0455844402313232,-1.691144,13.297128,1.834664
307,3.0557758808135986,-1.449552,12.888096,2.026024
308,3.065479040145874,-1.65048,12.419264,2.054728
309,3.0755412578582764,-1.813136,11.680136,2.243696
310,3.0857763290405273,-1.75812,10.917088,2.317848
311,3.095552682876587,-1.540448,10.649184,2.370472
312,3.1055099964141846,-1.5548,10.797488,2.2724
313,3.1157147884368896,-1.717456,11.285456,2.088216
314,3.1255428791046143,-1.9734,11.51748,1.794
315,3.135014295578003,-2.150408,11.826048,1.65048
316,3.145636558532715,-2.0332,12.041328,1.535664
317,3.1555259227752686,-1.712672,12.213552,1.571544
318,3.1655282974243164,-1.246232,12.536472,1.416064
319,3.175945997238159,-0.985504,12.801984,1.516528
320,3.185544729232788,-0.667368,12.955072,1.6744
321,3.195066213607788,-0.258336,12.818728,1.966224
322,3.205721139907837,0.2392,12.359464,1.956656
323,3.2154691219329834,0.80132,11.692096,2.0332
324,3.2254106998443604,1.36344,10.890776,2.138448
325,3.2359752655029297,1.956656,10.024872,2.229344
326,3.2450246810913086,2.234128,9.04176,2.40396
327,3.255528211593628,2.28436,8.16868,2.43984
328,3.26576566696167,2.114528,7.494136,2.401568
329,3.275500774383545,1.62656,6.857864,2.449408
330,3.2855100631713867,1.129024,6.55408,2.346552
331,3.29573392868042,0.46644,6.288568,2.265224
332,3.305506944656372,-0.318136,6.2192,2.222168
333,3.315078020095825,-1.023776,6.18332,2.167152
334,3.325709342956543,-1.645696,6.317272,1.918384
335,3.335249185562134,-2.1528,6.580392,1.703104
336,3.3455395698547363,-2.561832,6.85308,1.428024
337,3.355903387069702,-2.82256,7.147296,1.396928
338,3.3655409812927246,-2.994784,7.601776,1.12424
339,3.375131368637085,-2.856048,7.561112,0.722384
340,3.385712146759033,-1.63852,6.202456,-1.282112
341,3.3955352306365967,-2.753192,8.604024,2.70296
342,3.4055020809173584,-2.413528,8.178248,0.507104
343,3.4157047271728516,-1.44716,7.661576,-0.420992
344,3.425541877746582,-0.578864,7.101848,0.62192
345,3.435563802719116,-0.636272,7.324304,2.124096
346,3.445711612701416,-0.949624,8.58728,1.176864
347,3.455526113510132,-0.999856,10.484136,-0.45448
348,3.465545892715454,-1.777256,11.512696,-0.492752
349,3.4760024547576904,-3.0498,11.381136,0.600392
350,3.4850854873657227,-3.559296,11.21848,1.167296
351,3.495537519454956,-3.176576,10.905128,1.069224
352,3.5057053565979004,-3.004352,10.909912,1.380184
353,3.5155324935913086,-2.635984,11.053432,1.628952
354,3.525489568710327,-2.145624,11.106056,1.609816
355,3.5356860160827637,-1.844232,11.431368,1.492608
356,3.545170783996582,-1.30364,12.077208,1.308424
357,3.5551600456237793,-1.007032,13.14404,1.463904
358,3.5657644271850586,-1.475864,13.486096,1.53088
359,3.575080156326294,-2.179112,12.526904,1.954264
360,3.5851666927337646,-2.46376,10.900344,2.437448
361,3.5960114002227783,-2.3322,9.240296,2.420704
362,3.6055521965026855,-1.703104,7.716592,2.377648
363,3.615520715713501,-0.906568,6.43448,2.447016
364,3.6257033348083496,-0.28704,5.69296,2.5116
365,3.6353530883789062,0.01196,5.712096,2.528344
366,3.645512819290161,-0.26312,6.759792,2.411136
367,3.655704975128174,-1.038128,8.843224,1.794
368,3.6655142307281494,-2.109744,11.859536,1.258192
369,3.674990653991699,-2.925416,13.246896,1.270152
370,3.685854196548462,-3.162224,12.488632,1.605032
371,3.695544719696045,-2.767544,11.94804,1.691144
372,3.7055141925811768,-1.846624,11.950432,1.636128
373,3.7159202098846436,-0.87308,11.405056,2.02124
374,3.7255067825317383,-0.121992,10.280816,2.573792
375,3.735541582107544,0.45448,9.206808,3.167008
376,3.745640993118286,0.959192,8.273928,3.645408
377,3.7550101280212402,1.167296,7.620912,4.083144
378,3.7651450634002686,1.191216,7.176,4.250584
379,3.775717258453369,0.875472,6.810024,4.453904
380,3.7854912281036377,0.385112,6.50624,4.52088
381,3.7949774265289307,-0.04784,6.30292,4.623736
382,3.805680513381958,-0.4186,6.19528,4.202744
383,3.815479278564453,-0.631488,6.2192,3.942016
384,3.8254640102386475,-1.133808,6.515808,4.080752
385,3.8357396125793457,-1.317992,6.357936,3.355976
386,3.8455326557159424,-0.4784,7.647224,3.99464
387,3.8550844192504883,-0.62192,8.936512,4.348656
388,3.865706205368042,-1.78204,7.94144,3.463616
389,3.8755249977111816,-1.657656,6.807632,2.078648
390,3.885344982147217,-1.896856,8.654256,3.977896
391,3.895690441131592,-1.712672,9.0896,3.329664
392,3.9054079055786133,-2.061904,8.281104,2.42788
393,3.9153435230255127,-2.454192,7.955792,2.399176
394,3.9257614612579346,-2.657512,7.984496,2.724488
395,3.9354970455169678,-2.796248,8.178248,2.937376
396,3.9455058574676514,-3.01392,8.226088,2.552264
397,3.9559667110443115,-3.461224,8.429408,2.26044
398,3.965169906616211,-4.087928,8.871928,1.942304
399,3.9751033782958984,-4.61656,9.225944,1.856192
400,3.985751152038574,-5.04712,9.362288,1.655264
401,3.9950854778289795,-5.114096,9.541688,1.612208
402,4.005507946014404,-4.920344,9.756968,1.652872
403,4.015713691711426,-4.68832,10.008128,1.705496
404,4.025503158569336,-4.3654,10.194704,1.600248
405,4.035537242889404,-3.753048,10.328656,1.772472
406,4.045709133148193,-3.138304,10.675496,1.96144
407,4.055561780929565,-2.746016,11.436152,1.894464
408,4.065519332885742,-2.401568,12.249432,1.789216
409,4.075709581375122,-2.06908,12.751752,1.772472
410,4.085540771484375,-1.581112,12.684776,1.930344
411,4.095542669296265,-1.203176,12.517336,2.093
412,4.105503082275391,-1.272544,12.137008,2.286752
413,4.115520238876343,-1.609816,11.46964,2.20064
414,4.1254918575286865,-1.856192,10.921872,2.394392
415,4.135704755783081,-1.942304,10.701808,2.325024
416,4.145764589309692,-1.982968,10.917088,2.317848
417,4.155028581619263,-2.059512,11.345256,2.183896
418,4.165891647338867,-2.159976,11.814088,1.992536
419,4.175080060958862,-2.17672,12.213552,1.707888
420,4.185180425643921,-1.966224,12.445576,1.664832
421,4.195712089538574,-1.75812,12.541256,1.60264
422,4.205570697784424,-1.495,12.596272,1.636128
423,4.215483903884888,-1.138592,12.517336,1.600248
424,4.2257163524627686,-0.664976,12.524512,1.738984
425,4.235485792160034,-0.057408,12.33076,1.707888
426,4.245535135269165,0.533416,12.017408,1.75812
427,4.25596284866333,1.08836,11.464856,1.975792
428,4.26554799079895,1.473472,10.876424,2.107352
429,4.275523662567139,1.593072,10.05836,2.339376
430,4.28579568862915,1.561976,9.30488,2.456584
431,4.295104503631592,1.3754,8.465288,2.592928
432,4.305477142333984,1.143376,7.671144,2.564224
433,4.315733194351196,0.834808,7.106632,2.580968
434,4.3254640102386475,0.354016,6.654544,2.53552
435,4.3354785442352295,-0.040664,6.312488,2.442232
436,4.345706224441528,-0.413816,6.078072,2.480504
437,4.355720281600952,-0.748696,6.042192,2.191072
438,4.365475177764893,-1.119456,6.157008,2.14084
439,4.3757195472717285,-1.561976,6.32684,2.040376
440,4.385369300842285,-2.037984,6.525376,1.808352
441,4.394855976104736,-2.853656,7.269288,1.98536
442,4.405664682388306,-2.492464,6.046976,0.351624
443,4.414987564086914,-2.502032,7.805096,2.576184
444,4.425429105758667,-3.095248,8.871928,2.10496
445,4.435927152633667,-2.360904,7.927088,-1.12424
446,4.445521831512451,-2.162368,7.286032,-0.459264
447,4.455465793609619,-1.789216,6.786104,0.975936
448,4.46572732925415,-2.114528,7.7142,2.16476
449,4.475079536437988,-1.274936,8.02516,0.16744
450,4.485528945922852,-0.863512,8.6112,-0.569296
451,4.495710611343384,-1.738984,9.749792,0.691288
452,4.505449295043945,-2.109744,10.209056,0.66976
453,4.515542507171631,-2.896712,10.5248,0.52624
454,4.525710582733154,-3.523416,10.732904,-0.145912
455,4.535498380661011,-3.855904,10.74008,0.121992
456,4.545517444610596,-3.712384,11.046256,0.559728
457,4.555715560913086,-3.00196,11.33808,1.234272
458,4.565484046936035,-2.250872,11.491168,1.707888
